KU-typ;FK;Elementnamn XML-fil;Obl;Fälttyp;SambandskontrollID;SambandskontrollText;Beskrivning;Xml fält grupp;SKVs tooltip i etjänst för direkt-registrering;
KU10;037;VissaAvdrag;N;Belopp6;035;Om Fk070 finns ska Fk037 finnas.;Vissa avdrag ;;Här fyller du i vissa speciella avgifter som den anställde får dra av i sin inkomstdeklaration, till exempel avgifter som den anställde betalar i tjänsten för egen eller efterlevandes pension. Beloppet ska ingå i bruttolönen i fält 011. Ange vad avdraget gäller i fält 070.;
KU10;039;Hyresersattning;N;Belopp7;;;Hyresersättning;;Här fyller du i hyra som arbetsgivaren betalart till den anställde och som är inkomst av kapital för den anställde.;
KU10;041;BostadSmahus;N;Kryss;036;Fk041 måste finnas om Fk012 > 0 och Fk042, Fk043, Fk044, Fk045 och Fk047 saknas.;Bostad småhus;;;
KU10;042;Kost;N;Kryss;;;Kost;;;
KU10;043;BostadEjSmahus;N;Kryss;;;Bostad ej småhus;;;
KU10;044;Ranta;N;Kryss;;;Ränta;;;
KU10;045;Parkering;N;Kryss;;;Parkering;;;
KU10;047;AnnanForman;N;Kryss;037;Om Fk065 finns ska Fk047 finnas.;Annan förmån;;När du markerar här ska du också ange vilken förmån ersättningen gäller i fält 065.;
KU10;048;FormanHarJusterats;N;Kryss;038;Om Fk048 finns och Fk031 och Fk025 saknas måste Fk012 eller Fk013 finnas.;Förmån har justerats;;Här markerar du om arbetsgivaren har fått beslut från Skatteverket om justering av förmånsvärdet för kost, bostad eller bilförmån. Obs! Du ska fylla i det justerade värdet i fält 012 eller 013.;
KU10;049;FormanSomPension;N;Kryss;040;Om Fk049 finns måste 012 eller 013 finnas.;Förmån som pension;;Här markerar du om en anställd gått i pension, men behållit en förmån som pension. Exempel: En tidigare anställd har fått behålla ett räntefritt lån som pension. Du ska då fylla i värdet av ränteförmånen i fält 012 och markera i fält 044 och 049.;
KU10;050;Bilersattning;N;Kryss;;;Enligt schablon Bilersättning;;;
KU10;051;TraktamenteInomRiket;N;Kryss;;;Enligt schablon Traktam. inom riket;;;
KU10;052;TraktamenteUtomRiket;N;Kryss;;;Enligt schablon Traktam. utom riket;;;
KU10;053;TjansteresaOver3MInrikes;N;Kryss;;;Tjänsteresa längre tid än tre månader Inrikes;;;
KU10;054;TjansteresaOver3MUtrikes;N;Kryss;;;Tjänsteresa längre tid än tre månader Utrikes;;;
KU10;055;Resekostnader;N;Kryss;;;Motsvarande gjorda utlägg m.m. avseende Resekostnader;;;
KU10;056;Logi;N;Kryss;;;Motsvarande gjorda utlägg m.m. avseende Logi;;;
KU10;059;PersonaloptionForvarvAndel;N;Kryss;;;Personaloption som inte ska förmånsbeskattas har utnyttjats för förvärv av andel;;;
KU10;060;Arbetsstallenummer;N;ArbetsstalleNummer;;;Arbetsställenummer från SCB;;;
KU10;061;Delagare;N;Kryss;;;Delägare m.fl. i fåmansföretag;;"Här markerar du om ditt företag är ett: • fåmansföretag och om den person som kontrolluppgiften gäller är företagsledare, närstående till sådan person eller delägare i företaget
• fåmanshandelsbolag och om den person kontrolluppgiften gäller är företagsledare eller närstående till en sådan person utan att vara delägare i handelsbolaget.
";
KU10;065;SpecAvAnnanForman;N;Text40;041;Om Fk047 finns ska Fk065 finnas.;Specifikation av annan förmån i fält 047;;Här fyller du i vilken/vilka förmåner som avses med markeringen i fält 047.;
KU10;070;SpecVissaAvdrag;N;Text40;042;Om Fk037 finns ska Fk070 finnas.;Specifikation av belopp i fält 037;;Här fyller du i vad avdraget i fält 037 gäller.;
KU10;076;LandskodTIN;N;Landskod;045;Om Fk252 finns ska Fk076 finnas.;TIN-land;Inkomsttagare;I de fall utländskt skatteregistreringsnummer (TIN) lämnas ska uppgift även lämnas om vilket land som utfärdat numret.;
KU10;093;SocialAvgiftsAvtal;N;Kryss;;;Socialavgiftsavtal finns;;Om en utländsk arbetsgivare som saknar fast driftställe i Sverige har träffat en överenskommelse (socialavgiftsavtal) med den anställde om att den anställde ska redovisa och betala arbetsgivaravgifterna i arbetsgivarens ställe ska du markera här. Den kontanta ersättningen redovisar du i fält 011 och förmåner i fält 012, 013 och 018.;
KU10;201;UppgiftslamnarId;J;Identitet;053;Fk201 får ej vara identisk med Fk215.;Person-/organisationsnummer;Uppgiftslamnare;;
KU10;202;NamnUppgiftslamnare;N;Text50;;;Uppgiftslämnarens namn;Uppgiftslamnare;;
KU10;203;Inkomstar;J;Inkomstar;;;Inkomstår;;;
KU10;205;Borttag;N;Kryss;055;Fk205 får bara finnas om alla fältkoder förutom Fk201, Fk203, Fk570, Fk215, Fk222 och Fk224 är tomma.;ta bort tidigare inlämnad kontrolluppgift;;;
KU10;215;Inkomsttagare;N;Identitet;056, 173;"Fk215 ska finnas om Fk222 och Fk224 saknas.
Fk215 får inte börja med 16 om Fk011, Fk012, Fk013 eller Fk025 har värde >0 ";Person-/organisationsnummer;Inkomsttagare;Fyll i personnummer eller samordningsnummer för fysisk person eller organisationsnummer för juridisk person. För personer med samordningsnummer ska namn- och adressuppgifter skrivas i fält 216-221.;
KU10;216;Fornamn;N;Text50;057,142;"Fk216 ska finnas om Fk222 finns och Fk205 saknas.
Fk216 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas.";Förnamn;Inkomsttagare;;
KU10;217;Efternamn;N;Text50;058,143;"Fk217 ska finnas om Fk222 finns och Fk205 saknas.
Fk217 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas.";Efternamn;Inkomsttagare;;
KU10;218;Gatuadress;N;Text50;059,144,152;"Fk218 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk218 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk218 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Gatuadress;Inkomsttagare;;
KU10;219;Postnummer;N;PostNummer;060,145,153;"Fk219 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk219 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk219 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Postnummer;Inkomsttagare;Anges utan ev. landskod. Land anges istället i fält 221 nedan.;
KU10;220;Postort;N;Text50;061,146,154;"Fk220 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk220 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk220 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Postort;Inkomsttagare;;
KU10;221;LandskodPostort;N;Landskod;166;Fk221 ska finnas om Fk230 finns;Land;Inkomsttagare;;
KU10;222;Fodelsetid;N;Fodelsetid;063;Om Fk215 finns får inte Fk222 finnas.;Födelsetid;Inkomsttagare;Har personen som uppgiften avser inget personnummer finns möjligheten att ange födelsetid istället. Födelsetiden anges med personens födelsedatum på samma sätt som i ett personnummer följt av tre valfria siffror (ÅÅÅÅMMDDnnn).;
KU10;224;AnnatIDNr;N;Text20;;;Annat ID-nummer;Inkomsttagare;Avser uppgiften en juridisk person som saknar svenskt organisationsnummer ska, som identifikator, Annat ID-nummer anges. Det finns inga formkrav för Annat ID-nummer. ;
KU10;226;OrgNamn;N;Text50;065,151;"Fk226 får inte finnas om Fk222 finns, om Fk215 har SS>17, om Fk216 finns eller om Fk217 finns.
Fk226 ska finnas om Fk224 finns och Fk205, Fk215, Fk216, Fk217 och Fk222 alla saknas.";Organisationsnamn;Inkomsttagare;Anges för juridisk person istället för för- och efternamn.;
KU10;228;Gatuadress2;N;Text50;;;Gatuadress forts.;Inkomsttagare;Om du behöver mer utrymme för gatuadress, t.ex. för en c/o-adress.;
KU10;230;FriAdress;N;Text350;;;Adress i fritt format;Inkomsttagare;Om en utländsk adress inte går att dela in i gatuadress, postnummer och postort kan detta fält istället användas.;
KU10;252;TIN;N;Text20;066;Om Fk076 finns ska Fk252 finnas.;Utländskt skatteregistreringsnummer (TIN);Inkomsttagare;Utländskt skatteregistreringsnummer, TIN (Tax Identification Number), ska alltid lämnas för person som är obegränsat skattskyldig i Sverige och har hemvist i annan stat. Personen, som uppgiften avser, får skatteregistreringsnumret av det land där han eller hon har sin skatterättsliga hemvist.;
KU10;570;Specifikationsnummer;J;SpecifikationsNummer;;;Specifikationsnummer;;Du ska alltid fylla i specifikationsnummer. Det kan vara ett valfritt nummer, men om du lämnar du flera kontrolluppgifter av samma KU-typ för samma person måste de ha olika specifikationsnummer. Vill du senare ändra eller ta bort en kontrolluppgift måste du ange samma specifikationsnummer som ursprungligen lämnades.;
KU13;001;AvdragenSkatt;N;Belopp10;;;Avdragen skatt;;Här fyller du i hur mycket särskild inkomstskatt, SINK, arbetsgivaren har dragit av (efter ett beslut om SINK från Skatteverket).;
KU13;008;AnstalldFrom;N;Manad;;;Anställd fr.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du första anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU13;009;AnstalldTom;N;Manad;009;Fk009 måste vara >= Fk008.;Anställd t.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du sista anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU13;011;KontantBruttolonMm;N;Belopp10;011;Fk011 ska finnas om Fk205, Fk001, Fk012, Fk013, Fk030, Fk031 och Fk036 alla saknas.;Kontant bruttolön m.m. ;;Här fyller du framför allt i sådan ersättning (brutto) som arbetsgivaren ska betala arbetsgivaravgifter för.;
KU13;012;FormanUtomBilDrivmedel;N;Belopp10;016;Om en/flera av Fk041, 042, 043, 044, 045 och 047 finns och Fk031 saknas måste Fk012 >= 0.;Skattepliktiga förmåner utom bilförmån och drivmedel vid bilförmån;;Här redovisar du det sammanlagda värdet av andra skattepliktiga förmåner än bilförmån och förmån av fritt drivmedel vid bilförmån. Markera i fält 41-47 vilken/vilka förmåner det gäller.;
KU13;013;BilformanUtomDrivmedel;N;Belopp7;020;Fk013 >= 0 om Fk031 saknas och någon av Fk014, Fk015 och Fk017 finns.;Skattepliktig bilförmån utom drivmedel;;Vid värdering av bilförmån räknas del av en månad som en hel månad. Om den anställde har betalat för bilförmånen med sin nettolön ska du minska förmånsvärdet med det beloppet. Om förmånsvärdet blir 0 kr (eller negativt), skriver du 0.;
KU13;014;KodForFormansbil;N;Bilkod;030;Om Fk013 finns ska Fk014 finnas.;Kod för förmånsbil;;Här fyller du i bilmodellens kod enligt Skatteverkets nybilsprislistor.  Så här är koden uppbyggd: ÅÅXXNNN där ÅÅ är tillverkningsår, XX är bilmärke och NNN är bilvariant. Om den anställde har bytt bil under året, redovisa koden för bilen som den anställde haft den längsta tiden eller koden för bilen som använts senast under året;
KU13;015;AntalManBilforman;N;AntalManader;;;Antal månader med bilförmån;;Här anger du hur många månader (om de är färre än 12) som den anställde har haft förmånsbil under året. Del av en månad ska räknas som en hel månad.;
KU13;016;KmBilersVidBilforman;N;AntalKm;;;Antal km med bilersättning vid bilförmån;;Här ska du fylla i om den anställde fått bilersättning för resa i tjänsten med förmånsbil. Fyll i det antal kilometer som ersättning har betalats för och markera fält 50.;
KU13;017;BetaltForBilforman;N;Belopp7;;;Betalt för bilförmån;;Här ska du fylla i det belopp som den anställde betalat med sin nettolön för bilförmånen.;
KU13;018;DrivmedelVidBilforman;N;Belopp7;;;Drivmedel vid bilförmån;;Här fyller du i förmån av fritt drivmedel vid bilförmån, värderat till marknadsvärdet x 1,2. Uppräkningen med 1,2 gäller när du redovisar förmånen i kontrolluppgiften. Vid beräkningen av arbetsgivaravgifter värderas det fria drivmedlet till marknadsvärdet, utan uppräkning.;
KU13;030;Tjanstepension;N;Belopp10;;;Tjänstepension;;Här fyller du i pension som betalats ut till före detta anställda eller till deras efterlevande. Obs! Avgångsvederlag inte räknas som pension utan som lön och ska därför redovisas i fält 011.;
KU13;031;ErsEjSocAvg;N;Belopp10;;;Ersätningar som inte är underlag för socialavgifter ;;Här redovisar du bl.a. vissa ersättningar till idrottsutövare under ett halvt basbelopp och ersättningar till anställda som ska beskattas i Sverige men som tillhör ett annat lands socialförsäkring;
KU13;036;ErsFormanBostadMmSINK;N;Belopp6;;;Ersättning/förmån avseende bostad samt resa till och från anställning/förrättning ;;Här redovisar ersättningar som är undantagna från särskild inkomstskatt och arbetsgivaravgifter om du redovisar på KU13.;
KU13;041;BostadSmahus;N;Kryss;;;Bostad småhus;;;
KU13;042;Kost;N;Kryss;;;Kost;;;
KU13;043;BostadEjSmahus;N;Kryss;;;Bostad ej småhus;;;
KU13;044;Ranta;N;Kryss;;;Ränta;;;
KU13;045;Parkering;N;Kryss;;;Parkering;;;
KU13;047;AnnanForman;N;Kryss;;;Annan förmån;;;
KU13;048;FormanHarJusterats;N;Kryss;039;Om Fk048 finns och Fk031 saknas måste Fk012 eller Fk013 finnas.;Förmån har justerats;;Här markerar du om arbetsgivaren har fått beslut från Skatteverket om justering av förmånsvärdet för kost, bostad eller bilförmån. Obs! Du ska fylla i det justerade värdet i fält 012 eller 013.;
KU13;059;PersonaloptionForvarvAndel;N;Kryss;;;Personaloption som inte ska förmånsbeskattas har utnyttjats för förvärv av andel;;;
KU13;060;Arbetsstallenummer;N;ArbetsstalleNummer;;;Arbetsställenummer från SCB;;;
KU13;061;Delagare;N;Kryss;;;Delägare m.fl. i fåmansföretag;;"Här markerar du om ditt företag är ett: • fåmansföretag och om den person som kontrolluppgiften gäller är företagsledare, närstående till sådan person eller delägare i företaget
• fåmanshandelsbolag och om den person kontrolluppgiften gäller är företagsledare eller närstående till en sådan person utan att vara delägare i handelsbolaget.
";
KU13;076;LandskodTIN;N;Landskod;045;Om Fk252 finns ska Fk076 finnas.;TIN-land;Inkomsttagare;I de fall utländskt skatteregistreringsnummer (TIN) lämnas ska uppgift även lämnas om vilket land som utfärdat numret.;
KU13;081;LandskodMedborgare;N;Landskod;048;Fk081 ska finnas om Fk250 finns.;Medborgarskap;Inkomsttagare;;
KU13;093;SocialAvgiftsAvtal;N;Kryss;;;Socialavgiftsavtal finns;;Om en utländsk arbetsgivare som saknar fast driftställe i Sverige har träffat en överenskommelse (socialavgiftsavtal) med den anställde om att den anställde ska redovisa och betala arbetsgivaravgifterna i arbetsgivarens ställe ska du markera här. Den kontanta ersättningen redovisar du i fält 011 och förmåner i fält 012, 013 och 018.;
KU13;201;UppgiftslamnarId;J;Identitet;053;Fk201 får ej vara identisk med Fk215.;Person-/organisationsnummer;Uppgiftslamnare;;
KU13;202;NamnUppgiftslamnare;N;Text50;;;Uppgiftslämnarens namn;Uppgiftslamnare;;
KU13;203;Inkomstar;J;Inkomstar;;;Inkomstår;;;
KU13;205;Borttag;N;Kryss;055;Fk205 får bara finnas om alla fältkoder förutom Fk201, Fk203, Fk570, Fk215, Fk222 och Fk224 är tomma.;ta bort tidigare inlämnad kontrolluppgift;;;
KU13;215;Inkomsttagare;N;Identitet;056;Fk215 ska finnas om Fk222 och Fk224 saknas.;Svenskt Person-/samordningsnummer;Inkomsttagare;Fyll i personnummer eller samordningsnummer för fysisk person eller organisationsnummer för juridisk person. För personer med samordningsnummer ska namn- och adressuppgifter skrivas i fält 216-221.;
KU13;216;Fornamn;N;Text50;057,142;"Fk216 ska finnas om Fk222 finns och Fk205 saknas.
Fk216 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas.";Förnamn;Inkomsttagare;;
KU13;217;Efternamn;N;Text50;058,143;"Fk217 ska finnas om Fk222 finns och Fk205 saknas.
Fk217 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas.";Efternamn;Inkomsttagare;;
KU13;218;Gatuadress;N;Text50;059,144,152;"Fk218 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk218 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk218 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Gatuadress;Inkomsttagare;;
KU13;219;Postnummer;N;PostNummer;060,145,153;"Fk219 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk219 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk219 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Postnummer;Inkomsttagare;Anges utan ev. landskod. Land anges istället i fält 221 nedan.;
KU13;220;Postort;N;Text50;061,146,154;"Fk220 ska finnas om Fk222 finns och Fk205 saknas och Fk230 saknas.
Fk220 ska finnas om Fk215 har värde i SSÅÅ > 1800 och DD > 60 och Fk205 saknas och Fk230 saknas.
Fk220 ska finnas om Fk224 finns och Fk205 och Fk215 och Fk222 saknas och Fk230 saknas.";Postort;Inkomsttagare;;
KU13;221;LandskodPostort;N;Landskod;166;Fk221 ska finnas om Fk230 finns;Land;Inkomsttagare;;
KU13;222;Fodelsetid;N;Fodelsetid;063;Om Fk215 finns får inte Fk222 finnas.;Födelsetid;Inkomsttagare;Har personen som uppgiften avser inget personnummer finns möjligheten att ange födelsetid istället. Födelsetiden anges med personens födelsedatum på samma sätt som i ett personnummer följt av tre valfria siffror (ÅÅÅÅMMDDnnn).;
KU13;224;AnnatIDNr;N;Text20;;;Annat ID-nummer;Inkomsttagare;Avser uppgiften en juridisk person som saknar svenskt organisationsnummer ska, som identifikator, Annat ID-nummer anges. Det finns inga formkrav för Annat ID-nummer. ;
KU13;226;OrgNamn;N;Text50;065,151;"Fk226 får inte finnas om Fk222 finns, om Fk215 har SS>17, om Fk216 finns eller om Fk217 finns.
Fk226 ska finnas om Fk224 finns och Fk205, Fk215, Fk216, Fk217 och Fk222 alla saknas.";Organisationsnamn;Inkomsttagare;Anges för juridisk person istället för för- och efternamn.;
KU13;228;Gatuadress2;N;Text50;;;Gatuadress forts.;Inkomsttagare;Om du behöver mer utrymme för gatuadress, t.ex. för en c/o-adress.;
KU13;230;FriAdress;N;Text350;;;Adress i fritt format;Inkomsttagare;Om en utländsk adress inte går att dela in i gatuadress, postnummer och postort kan detta fält istället användas.;
KU13;252;TIN;N;Text20;066;Om Fk076 finns ska Fk252 finnas.;Utländskt skatteregistreringsnummer (TIN);Inkomsttagare;Utländskt skatteregistreringsnummer, TIN (Tax Identification Number), ska alltid lämnas för person som är obegränsat skattskyldig i Sverige och har hemvist i annan stat. Personen, som uppgiften avser, får skatteregistreringsnumret av det land där han eller hon har sin skatterättsliga hemvist.;
KU13;570;Specifikationsnummer;J;SpecifikationsNummer;;;Specifikationsnummer;;Ska alltid anges. Kan vara valfritt nummer, men lämnar du fler kontrolluppgifter av samma KU-typ för samma person måste de ha olika specifikationsnummer. Vill du senare kunna ändra eller ta bort en kontrolluppgift måste du då ange samma specifikationsnummer som nu.;
KU14;008;AnstalldFrom;N;Manad;;;Anställd fr.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du första anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU14;009;AnstalldTom;N;Manad;009;Fk009 måste vara >= Fk008.;Anställd t.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du sista anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU14;011;KontantBruttolonMm;N;Belopp10;012;Fk011 måste finnas om Fk205, Fk012, Fk013, Fk020, Fk025, Fk030, Fk031, Fk035 och Fk050-056 alla saknas.;Kontant bruttolön m.m. ;;Här fyller du framför allt i sådan ersättning (brutto) som arbetsgivaren ska betala arbetsgivaravgifter för.;
KU14;012;FormanUtomBilDrivmedel;N;Belopp10;015,017;"Om en/flera av Fk041, 042, 043, 044, 045, 047 finns och Fk031 och Fk025 saknas måste Fk012 >= 0.
Fk012 måste finnas om Fk021 eller Fk022 finns.";Skattepliktiga förmåner utom bilförmån och drivmedel vid bilförmån;;Här redovisar du det sammanlagda värdet av andra skattepliktiga förmåner än bilförmån och förmån av fritt drivmedel vid bilförmån. Markera i fält 041-047 vilken/vilka förmåner det gäller.;
KU14;013;BilformanUtomDrivmedel;N;Belopp7;019;Fk013 >= 0 om Fk031 saknas och Fk025 saknas, och någon av Fk014, Fk015 och Fk017 finns.;Skattepliktig bilförmån utom drivmedel;;Vid värdering av bilförmån räknas del av en månad som en hel månad. Om den anställde har betalat för bilförmånen med sin nettolön ska du minska förmånsvärdet med det beloppet. Om förmånsvärdet blir 0 kr (eller negativt), skriver du 0.;
KU14;014;KodForFormansbil;N;Bilkod;030;Om Fk013 finns ska Fk014 finnas.;Kod för förmånsbil;;Här fyller du i bilmodellens kod enligt Skatteverkets nybilsprislistor.  Så här är koden uppbyggd: ÅÅXXNNN där ÅÅ är tillverkningsår, XX är bilmärke och NNN är bilvariant. Om den anställde har bytt bil under året, redovisa koden för bilen som den anställde haft den längsta tiden eller koden för bilen som använts senast under året;
KU14;015;AntalManBilforman;N;AntalManader;;;Antal månader med bilförmån;;Här anger du hur många månader (om de är färre än 12) som den anställde har haft förmånsbil under året. Del av en månad ska räknas som en hel månad.;
KU14;016;KmBilersVidBilforman;N;AntalKm;;;Antal km med bilersättning vid bilförmån;;Här ska du fylla i om den anställde fått bilersättning för resa i tjänsten med förmånsbil. Fyll i det antal kilometer som ersättning har betalats för och markera fält 50.;
KU14;017;BetaltForBilforman;N;Belopp7;;;Betalt för bilförmån;;Här ska du fylla i det belopp som den anställde betalat med sin nettolön för bilförmånen.;
KU14;018;DrivmedelVidBilforman;N;Belopp7;;;Drivmedel vid bilförmån;;Här fyller du i förmån av fritt drivmedel vid bilförmån, värderat till marknadsvärdet x 1,2. Uppräkningen med 1,2 gäller när du redovisar förmånen i kontrolluppgiften. Vid beräkningen av arbetsgivaravgifter värderas det fria drivmedlet till marknadsvärdet, utan uppräkning.;
